Country,Country Abbreviation,Year,Average annual working hours per worker
United States,USA,1991,1787.2532
Uruguay,URY,1991,1781.501
Venezuela,VEN,1991,1878.4707
Vietnam,VNM,1991,2644.7563
Argentina,ARG,1992,1826
Australia,AUS,1992,1851.8408
Austria,AUT,1992,1804.9314
Bangladesh,BGD,1992,2182.9199
Barbados,BRB,1992,1638.2186
Belgium,BEL,1992,1603.4989
Brazil,BRA,1992,1858
Canada,CAN,1992,1772
Chile,CHL,1992,2415.4243
China,CHN,1992,1978.4241
Colombia,COL,1992,1949
Costa Rica,CRI,1992,2364.5488
Denmark,DNK,1992,1452.6305
Finland,FIN,1992,1752.7573
France,FRA,1992,1621.5667
Germany,DEU,1992,1564.7155
Greece,GRC,1992,2112.8689
Hong Kong,HKG,1992,2224.1714
Hungary,HUN,1992,1869.5546
Iceland,ISL,1992,1690.7538
India,IND,1992,2076.9104
Indonesia,IDN,1992,1897.3234
Ireland,IRL,1992,1996.7941
Israel,ISR,1992,1950.863
Italy,ITA,1992,1860.0026
Jamaica,JAM,1992,1963.4525
Japan,JPN,1992,1962.1306
Luxembourg,LUX,1992,1595.6875
Malaysia,MYS,1992,2298.1726
Mexico,MEX,1992,2312.9143
Myanmar,MMR,1992,2449.3638
Netherlands,NLD,1992,1471.1754
New Zealand,NZL,1992,1799
Norway,NOR,1992,1510.3245
Pakistan,PAK,1992,2202.4463
Peru,PER,1992,1928
Philippines,PHL,1992,2175.9771
Portugal,PRT,1992,1871.9889
Russia,RUS,1992,1933
Saint Lucia,LCA,1992,1928.8988
Singapore,SGP,1992,2349.8481
Slovakia,SVK,1992,1827.675
South Korea,KOR,1992,2638.7598
Spain,ESP,1992,1747.4857
Sri Lanka,LKA,1992,2001.6265
Sweden,SWE,1992,1565.2802
Switzerland,CHE,1992,1723.1902
Taiwan,TWN,1992,2220.2358
Thailand,THA,1992,2643.4509
Trinidad and Tobago,TTO,1992,1564.7506
Turkey,TUR,1992,1897
United Kingdom,GBR,1992,1714.3304
United States,USA,1992,1775.0881
Uruguay,URY,1992,1775.0256
Venezuela,VEN,1992,1868
Vietnam,VNM,1992,2646.5408
Argentina,ARG,1993,1850.3378
Australia,AUS,1993,1869.6207
Austria,AUT,1993,1802.2981
Bangladesh,BGD,1993,2162.833
Barbados,BRB,1993,1660.3339
Belgium,BEL,1993,1559.4839
Brazil,BRA,1993,1858.9998
Cambodia,KHM,1993,2190.6436
Canada,CAN,1993,1769
Chile,CHL,1993,2389.4006
China,CHN,1993,1981.6498
Colombia,COL,1993,1961.9569
Costa Rica,CRI,1993,2352.4185
Czechia,CZE,1993,1856.9045
Denmark,DNK,1993,1449.0786
Finland,FIN,1993,1755.3395
France,FRA,1993,1614.0789
Germany,DEU,1993,1541.5763
Greece,GRC,1993,2112.1438
Hong Kong,HKG,1993,2287.9592
Hungary,HUN,1993,1869.5546
Iceland,ISL,1993,1705.9176
India,IND,1993,2075.8694
Indonesia,IDN,1993,1898.6636
Ireland,IRL,1993,1970.111
Israel,ISR,1993,1952.8857
Italy,ITA,1993,1859.8804
Jamaica,JAM,1993,1951.1327
Japan,JPN,1993,1926.7769
Luxembourg,LUX,1993,1602.0656
Malaysia,MYS,1993,2299.5669
Mexico,MEX,1993,2306.5923
Myanmar,MMR,1993,2448.7241
Netherlands,NLD,1993,1460.8594
New Zealand,NZL,1993,1853
Norway,NOR,1993,1506.5886
Pakistan,PAK,1993,2233.5469
Peru,PER,1993,1927.6665
Philippines,PHL,1993,2135.9644
Poland,POL,1993,2070.8213
Portugal,PRT,1993,1859.4235
Russia,RUS,1993,1939
Saint Lucia,LCA,1993,1995.7933
Singapore,SGP,1993,2375.0393
Slovakia,SVK,1993,1827.8033
South Korea,KOR,1993,2655.6575
Spain,ESP,1993,1739.5718
Sri Lanka,LKA,1993,2017.4285
Sweden,SWE,1993,1596.9991
Switzerland,CHE,1993,1719.4904
Taiwan,TWN,1993,2240.5791
Thailand,THA,1993,2564.5964
Trinidad and Tobago,TTO,1993,1580.2424
Turkey,TUR,1993,1917
United Kingdom,GBR,1993,1710.316
United States,USA,1993,1790.0741
Uruguay,URY,1993,1768.5737
Venezuela,VEN,1993,1888.8833
Vietnam,VNM,1993,2647.239
Argentina,ARG,1994,1875
Australia,AUS,1994,1877.7278
Austria,AUT,1994,1800.5381
Bangladesh,BGD,1994,2143.9639
Barbados,BRB,1994,1675.1111
Belgium,BEL,1994,1559.4839
Brazil,BRA,1994,1860
Cambodia,KHM,1994,2160.658
Canada,CAN,1994,1778
Chile,CHL,1994,2363.6575
China,CHN,1994,1989.3041
Colombia,COL,1994,1975
Costa Rica,CRI,1994,2376.1067
Czechia,CZE,1994,1838.9045
Denmark,DNK,1994,1406.5643
Finland,FIN,1994,1774.8427
France,FRA,1994,1611.6461
Germany,DEU,1994,1537.2506
Greece,GRC,1994,2110.1987
Hong Kong,HKG,1994,2291.9285
Hungary,HUN,1994,2000.5233
Iceland,ISL,1994,1677.275
India,IND,1994,2075.6873
Indonesia,IDN,1994,1929.7295
Ireland,IRL,1994,1970.3726
Israel,ISR,1994,1993.339
Italy,ITA,1994,1853.8326
Jamaica,JAM,1994,1958.8782
Japan,JPN,1994,1909.1
Luxembourg,LUX,1994,1581.1226
Malaysia,MYS,1994,2299.925
Malta,MLT,1994,2258.4878
Mexico,MEX,1994,2294
Myanmar,MMR,1994,2448.0374
Netherlands,NLD,1994,1468.4915
New Zealand,NZL,1994,1848
Norway,NOR,1994,1504.5739
Pakistan,PAK,1994,2195.5017
Peru,PER,1994,1927.3331
Philippines,PHL,1994,2149.8604
Poland,POL,1994,2084.6243
Portugal,PRT,1994,1855.101
Russia,RUS,1994,1895
Saint Lucia,LCA,1994,1962.6689
Singapore,SGP,1994,2390.9065
Slovakia,SVK,1994,1827.4283
South Korea,KOR,1994,2640.1453
Spain,ESP,1994,1738.5277
Sri Lanka,LKA,1994,1961.7678
Sweden,SWE,1994,1635.2219
Switzerland,CHE,1994,1741.3113
Taiwan,TWN,1994,2184.7539
Thailand,THA,1994,2614.2803
Trinidad and Tobago,TTO,1994,1591.5376
Turkey,TUR,1994,1886
United Kingdom,GBR,1994,1720.5905
United States,USA,1994,1807.9658
Uruguay,URY,1994,1762.1454
Venezuela,VEN,1994,1910
Vietnam,VNM,1994,2648.5125
Argentina,ARG,1995,1881.9612
Australia,AUS,1995,1875.9148
Austria,AUT,1995,1774.4364
Bangladesh,BGD,1995,2126.3477
Barbados,BRB,1995,1694.7531
Belgium,BEL,1995,1585.4919
Brazil,BRA,1995,1855.2317
Bulgaria,BGR,1995,1710.674
Cambodia,KHM,1995,2187.2813
Canada,CAN,1995,1775
Chile,CHL,1995,2338.1917
China,CHN,1995,2001.834
Colombia,COL,1995,1970.2328
Costa Rica,CRI,1995,2350.7129
Croatia,HRV,1995,1923.7113
Cyprus,CYP,1995,1899.5675
Czechia,CZE,1995,1857.9026
Denmark,DNK,1995,1419.1543
Ecuador,ECU,1995,1943
Estonia,EST,1995,1983.2291
Finland,FIN,1995,1776.0518
France,FRA,1995,1590.6832
Germany,DEU,1995,1527.9783
Greece,GRC,1995,2110.7063
Hong Kong,HKG,1995,2254.8499
Hungary,HUN,1995,2005.5222
Iceland,ISL,1995,1663.7961
India,IND,1995,2077.0972
Indonesia,IDN,1995,1928.0195
Ireland,IRL,1995,1962.0013
Israel,ISR,1995,2017.6111
Italy,ITA,1995,1856.0868
Jamaica,JAM,1995,1948.525
Japan,JPN,1995,1911.6
Latvia,LVA,1995,1975.9082
Lithuania,LTU,1995,1729.3558
Luxembourg,LUX,1995,1592.6145
Malaysia,MYS,1995,2300.3152
Malta,MLT,1995,2257.2898
Mexico,MEX,1995,2294
Myanmar,MMR,1995,2447.2981
Netherlands,NLD,1995,1479.2355
New Zealand,NZL,1995,1841
Norway,NOR,1995,1487.7358
Pakistan,PAK,1995,2217.4604
Peru,PER,1995,1926.9998
Philippines,PHL,1995,2129.8364
Poland,POL,1995,2081.9163
Portugal,PRT,1995,1893.4019
Romania,ROU,1995,1822.6454
Russia,RUS,1995,1891
Saint Lucia,LCA,1995,1986.1134
Singapore,SGP,1995,2403.967
Slovakia,SVK,1995,1853.0483
Slovenia,SVN,1995,1755.3971
South Korea,KOR,1995,2647.2344
Spain,ESP,1995,1738.8168
Sri Lanka,LKA,1995,1943.4845
Sweden,SWE,1995,1640.3448
Switzerland,CHE,1995,1720.2662
Taiwan,TWN,1995,2224.4939
Thailand,THA,1995,2609.0884
Trinidad and Tobago,TTO,1995,1602.2916
Turkey,TUR,1995,1876
United Kingdom,GBR,1995,1722.6252
United States,USA,1995,1817.5757
Uruguay,URY,1995,1755.7404
Venezuela,VEN,1995,1915.2285
Vietnam,VNM,1995,2648.729
Argentina,ARG,1996,1888.9481
Australia,AUS,1996,1868.7593
Austria,AUT,1996,1807.2706
Bangladesh,BGD,1996,2111.6362
Barbados,BRB,1996,1717.1149
Belgium,BEL,1996,1559.4839
Brazil,BRA,1996,1850.4756
Bulgaria,BGR,1996,1708.2025
Cambodia,KHM,1996,2191.9963
Canada,CAN,1996,1790
Chile,CHL,1996,2313
China,CHN,1996,2017.2693
Colombia,COL,1996,1965.4771
Costa Rica,CRI,1996,2392.572
Croatia,HRV,1996,1923.6965
Cyprus,CYP,1996,1898.6017
Czechia,CZE,1996,1852.5775
Denmark,DNK,1996,1412.2479
Ecuador,ECU,1996,1936.3103
Estonia,EST,1996,1982.2822
Finland,FIN,1996,1774.892
France,FRA,1996,1587.0975
Germany,DEU,1996,1510.4954
Greece,GRC,1996,2109.4004
Hong Kong,HKG,1996,2304.2678
Hungary,HUN,1996,1999.5793
Iceland,ISL,1996,1681.4872
India,IND,1996,2079.8303
Indonesia,IDN,1996,1917.2124
Ireland,IRL,1996,1953.5992
Israel,ISR,1996,2035.5391
Italy,ITA,1996,1866.1272
Jamaica,JAM,1996,1969.2648
Japan,JPN,1996,1914.8
Latvia,LVA,1996,1975.8959
Lithuania,LTU,1996,1727.0402
Luxembourg,LUX,1996,1599.5625
Malaysia,MYS,1996,2300.7361
Malta,MLT,1996,2250.3857
Mexico,MEX,1996,2314
Myanmar,MMR,1996,2446.9963
Netherlands,NLD,1996,1494.4548
New Zealand,NZL,1996,1834
Norway,NOR,1996,1482.2007
Pakistan,PAK,1996,2211.9167
Peru,PER,1996,1926.6664
Philippines,PHL,1996,2094.2141
Poland,POL,1996,2082.0403
Portugal,PRT,1996,1894.422
Romania,ROU,1996,1861.4635
Russia,RUS,1996,1894
Saint Lucia,LCA,1996,1972.0729
Singapore,SGP,1996,2424.0986
Slovakia,SVK,1996,1819.6322
Slovenia,SVN,1996,1727.4915
South Korea,KOR,1996,2636.5608
Spain,ESP,1996,1740.2025
Sri Lanka,LKA,1996,1936.9487
Sweden,SWE,1996,1653.0409
Switzerland,CHE,1996,1696.8719
Taiwan,TWN,1996,2198.0005
Thailand,THA,1996,2555.252
Trinidad and Tobago,TTO,1996,1618.5393
Turkey,TUR,1996,1892
United Kingdom,GBR,1996,1722.0925
United States,USA,1996,1823.6223
Uruguay,URY,1996,1749.3585
Venezuela,VEN,1996,1920.4713
Vietnam,VNM,1996,2648.8669
Argentina,ARG,1997,1895.9611
Australia,AUS,1997,1867.0762
Austria,AUT,1997,1815.692
Bangladesh,BGD,1997,2141.6018
Barbados,BRB,1997,1727.7413
Belgium,BEL,1997,1572.4879
Brazil,BRA,1997,1845.7317
Bulgaria,BGR,1997,1706.8674
Cambodia,KHM,1997,2202.3345
Canada,CAN,1997,1785.3007
Chile,CHL,1997,2256
China,CHN,1997,2037.369
Colombia,COL,1997,1960.7328
Costa Rica,CRI,1997,2371.2124
Croatia,HRV,1997,1923.7584
Cyprus,CYP,1997,1906.274
Czechia,CZE,1997,1857.7623
Denmark,DNK,1997,1428.3137
Ecuador,ECU,1997,1929.6437
Estonia,EST,1997,1980.5514
Finland,FIN,1997,1764.725
France,FRA,1997,1585.5039
Germany,DEU,1997,1499.6443
Greece,GRC,1997,2107.9448
Hong Kong,HKG,1997,2257.8132
Hungary,HUN,1997,2023.4016
Iceland,ISL,1997,1706.76
India,IND,1997,2079.3826
Indonesia,IDN,1997,1922.9292
Ireland,IRL,1997,1954.1941
Israel,ISR,1997,2040.4977
Italy,ITA,1997,1860.113
Jamaica,JAM,1997,1963.9474
Japan,JPN,1997,1887.1
Latvia,LVA,1997,1975.9169
Lithuania,LTU,1997,1732.694
Luxembourg,LUX,1997,1598.037
Malaysia,MYS,1997,2305.6272
Malta,MLT,1997,2252.865
Mexico,MEX,1997,2322
Myanmar,MMR,1997,2446.6213
Netherlands,NLD,1997,1480.0753
New Zealand,NZL,1997,1826
Norway,NOR,1997,1477.5382
Pakistan,PAK,1997,2199.7478
Peru,PER,1997,1926.3331
Philippines,PHL,1997,2098.4424
Poland,POL,1997,2081.8833
Portugal,PRT,1997,1889.6281
Romania,ROU,1997,1860.5239
Russia,RUS,1997,1951
Saint Lucia,LCA,1997,2011.2849
Singapore,SGP,1997,2437.7629
Slovakia,SVK,1997,1829.9979
Slovenia,SVN,1997,1714.797
South Korea,KOR,1997,2580.8613
Spain,ESP,1997,1742.4939
Sri Lanka,LKA,1997,1894.8599
Sweden,SWE,1997,1657.969
Switzerland,CHE,1997,1687.4536
Taiwan,TWN,1997,2141.229
Thailand,THA,1997,2485.231
Trinidad and Tobago,TTO,1997,1627.1366
Turkey,TUR,1997,1878
United Kingdom,GBR,1997,1721.1954
United States,USA,1997,1828.6818
Uruguay,URY,1997,1743
Venezuela,VEN,1997,1925.7284
Vietnam,VNM,1997,2317.3438
Argentina,ARG,1998,1903
Australia,AUS,1998,1851.2338
Austria,AUT,1998,1794.0305
Bangladesh,BGD,1998,2169.1011
Barbados,BRB,1998,1728.5961
Belgium,BEL,1998,1583.491
Brazil,BRA,1998,1841
Bulgaria,BGR,1998,1649.981
Cambodia,KHM,1998,2239.2913
Canada,CAN,1998,1782.1237
Chile,CHL,1998,2299
China,CHN,1998,2062.054
Colombia,COL,1998,1956
Costa Rica,CRI,1998,2362.2837
Croatia,HRV,1998,1923.6672
Cyprus,CYP,1998,1912.542
Czechia,CZE,1998,1877.4183
Denmark,DNK,1998,1441.1987
Ecuador,ECU,1998,1923
Estonia,EST,1998,1980.1615
Finland,FIN,1998,1754.3972
France,FRA,1998,1575.7279
Germany,DEU,1998,1493.5819
Greece,GRC,1998,2108.4343
Hong Kong,HKG,1998,2259.1528
Hungary,HUN,1998,2022.8932
Iceland,ISL,1998,1687.3842
India,IND,1998,2080.7412
Indonesia,IDN,1998,1928.8357
Ireland,IRL,1998,1953.1941
Israel,ISR,1998,2015.4592
Italy,ITA,1998,1873.7856
Jamaica,JAM,1998,1999.2107
Japan,JPN,1998,1866.5
Latvia,LVA,1998,1975.9045
Lithuania,LTU,1998,1779.5939
Luxembourg,LUX,1998,1593.3136
Malaysia,MYS,1998,2302.7126
Malta,MLT,1998,2277.3828
Mexico,MEX,1998,2291
Myanmar,MMR,1998,2446.1975
Netherlands,NLD,1998,1476.3424
New Zealand,NZL,1998,1829
Norway,NOR,1998,1475.7112
Pakistan,PAK,1998,2177.5776
Peru,PER,1998,1926
Philippines,PHL,1998,2091.7673
Poland,POL,1998,2081.8135
Portugal,PRT,1998,1905.3082
Romania,ROU,1998,1859.1493
Russia,RUS,1998,1946
Saint Lucia,LCA,1998,1972.3011
Singapore,SGP,1998,2425.8899
Slovakia,SVK,1998,1821.8607
Slovenia,SVN,1998,1727.9677
South Korea,KOR,1998,2485.8723
Spain,ESP,1998,1750.9642
Sri Lanka,LKA,1998,1910.4878
Sweden,SWE,1998,1656.319
Switzerland,CHE,1998,1695.5345
Taiwan,TWN,1998,2192.3232
Thailand,THA,1998,2533.8186
Trinidad and Tobago,TTO,1998,1630.5153
Turkey,TUR,1998,1884
United Kingdom,GBR,1998,1716.9994
United States,USA,1998,1839.5144
Uruguay,URY,1998,1736.6646
Venezuela,VEN,1998,1931
Vietnam,VNM,1998,2362.4314
Argentina,ARG,1999,1887.285
Australia,AUS,1999,1855.8291
Austria,AUT,1999,1797.9713
Bangladesh,BGD,1999,2194.2813
Barbados,BRB,1999,1733.9471
Belgium,BEL,1999,1582.491
Brazil,BRA,1999,1813.8428
Bulgaria,BGR,1999,1669.4999
Cambodia,KHM,1999,2265.4268
Canada,CAN,1999,1782.0236
Chile,CHL,1999,2277
China,CHN,1999,2082.0659
Colombia,COL,1999,1956
Costa Rica,CRI,1999,2376.1733
Croatia,HRV,1999,1923.6639
Cyprus,CYP,1999,1919.7133
Czechia,CZE,1999,1893.5347
Denmark,DNK,1999,1456.3748
Ecuador,ECU,1999,1788.7039
Estonia,EST,1999,1977.345
Finland,FIN,1999,1757.2578
France,FRA,1999,1569.4343
Germany,DEU,1999,1478.722
Greece,GRC,1999,2104.8523
Hong Kong,HKG,1999,2301.9258
Hungary,HUN,1999,2040.071
Iceland,ISL,1999,1667.1659
India,IND,1999,2082.6938
Indonesia,IDN,1999,1949.5291
Ireland,IRL,1999,1941.8829
Israel,ISR,1999,2023.3385
Italy,ITA,1999,1870.3572
Jamaica,JAM,1999,1983.4503
Japan,JPN,1999,1850.9
Latvia,LVA,1999,1975.9008
Lithuania,LTU,1999,1726.0139
Luxembourg,LUX,1999,1591.7571
Malaysia,MYS,1999,2304.0952
Malta,MLT,1999,2254.384
Mexico,MEX,1999,2306
Myanmar,MMR,1999,2445.7458
Netherlands,NLD,1999,1475.2928
New Zealand,NZL,1999,1845
Norway,NOR,1999,1474.8483
Pakistan,PAK,1999,2179.28
Peru,PER,1999,1890.957
Philippines,PHL,1999,2081.3909
Poland,POL,1999,2079.9983
Portugal,PRT,1999,1907.0874
Romania,ROU,1999,1850.0447
Russia,RUS,1999,1964
Saint Lucia,LCA,1999,1997.7997
Singapore,SGP,1999,2446.3804
Slovakia,SVK,1999,1816.2406
Slovenia,SVN,1999,1729.6924
South Korea,KOR,1999,2492.0903
Spain,ESP,1999,1756.0535
Sri Lanka,LKA,1999,1932.7937
Sweden,SWE,1999,1664.8116
Switzerland,CHE,1999,1717.401
Taiwan,TWN,1999,2190.4309
Thailand,THA,1999,2498.4678
Trinidad and Tobago,TTO,1999,1636.525
Turkey,TUR,1999,1925
United Kingdom,GBR,1999,1708.6104
United States,USA,1999,1841.6412
Uruguay,URY,1999,1722
Venezuela,VEN,1999,1886.8966
Vietnam,VNM,1999,2362.1404
Argentina,ARG,2000,1862.1362
Australia,AUS,2000,1854.0353
Austria,AUT,2000,1798.4323
Bangladesh,BGD,2000,2216.7761
Barbados,BRB,2000,1753.2524
Belgium,BEL,2000,1594.8505
Brazil,BRA,2000,1837.927
Bulgaria,BGR,2000,1640.2538
Cambodia,KHM,2000,2296.8909
Canada,CAN,2000,1778.6147
Chile,CHL,2000,2263
China,CHN,2000,2090.4753
Colombia,COL,2000,1956
Costa Rica,CRI,2000,2367.5845
Croatia,HRV,2000,1922.1008
Cyprus,CYP,2000,1926.3883
Czechia,CZE,2000,1895.5621
Denmark,DNK,2000,1466.0171
Ecuador,ECU,2000,1799.7212
Estonia,EST,2000,1977.8729
Finland,FIN,2000,1742.0702
France,FRA,2000,1549.965
Germany,DEU,2000,1452.0129
Greece,GRC,2000,2107.6384
Hong Kong,HKG,2000,2330.667
Hungary,HUN,2000,2032.8467
Iceland,ISL,2000,1718.554
India,IND,2000,2086.6284
Indonesia,IDN,2000,1913.0223
Ireland,IRL,2000,1932.7238
Israel,ISR,2000,2034.7421
Italy,ITA,2000,1850.8062
Jamaica,JAM,2000,1963.4492
Japan,JPN,2000,1858.5
Latvia,LVA,2000,1975.7949
Lithuania,LTU,2000,1846.2274
Luxembourg,LUX,2000,1602.2155
Malaysia,MYS,2000,2303.3127
Malta,MLT,2000,2251.1816
Mexico,MEX,2000,2311
Myanmar,MMR,2000,2445.2773
Netherlands,NLD,2000,1462.0212
New Zealand,NZL,2000,1836
Norway,NOR,2000,1456.4656
Pakistan,PAK,2000,2186.4368
Peru,PER,2000,2005.0114
Philippines,PHL,2000,2086.844
Poland,POL,2000,2081.6973
Portugal,PRT,2000,1916.8097
Romania,ROU,2000,1852.999
Russia,RUS,2000,1982
Saint Lucia,LCA,2000,1979.1416
Singapore,SGP,2000,2463.3818
Slovakia,SVK,2000,1815.6061
Slovenia,SVN,2000,1710.0972
South Korea,KOR,2000,2509.2881
Spain,ESP,2000,1752.7551
Sri Lanka,LKA,2000,2000.7396
Sweden,SWE,2000,1642.0825
Switzerland,CHE,2000,1712.743
Taiwan,TWN,2000,2180.4958
Thailand,THA,2000,2502.5249
Trinidad and Tobago,TTO,2000,1663.8954
Turkey,TUR,2000,1937
United Kingdom,GBR,2000,1692.954
United States,USA,2000,1844.9187
Uruguay,URY,2000,1704.0769
Venezuela,VEN,2000,1898.5117
Vietnam,VNM,2000,2393.6313
Argentina,ARG,2001,1811.1526
Australia,AUS,2001,1818.213
Austria,AUT,2001,1785.4202
Bangladesh,BGD,2001,2129.5923
Barbados,BRB,2001,1764.2705
Belgium,BEL,2001,1588.3749
Brazil,BRA,2001,1828.3264
Bulgaria,BGR,2001,1651.8589
Cambodia,KHM,2001,2321.0562
Canada,CAN,2001,1771.0833
Chile,CHL,2001,2242
China,CHN,2001,2103.5127
Colombia,COL,2001,1956
Costa Rica,CRI,2001,2335.0432
Croatia,HRV,2001,1923.392
Cyprus,CYP,2001,1950.894
Czechia,CZE,2001,1818.3157
Denmark,DNK,2001,1468.9253
Ecuador,ECU,2001,1810.8064
Estonia,EST,2001,1970.4961
Finland,FIN,2001,1722.5939
France,FRA,2001,1530.4617
Germany,DEU,2001,1441.9102
Greece,GRC,2001,2101.1304
Hong Kong,HKG,2001,2326.3577
Hungary,HUN,2001,1993.3213
Iceland,ISL,2001,1729.5055
India,IND,2001,2086.7727
Indonesia,IDN,2001,1935.4495
Ireland,IRL,2001,1923.5294
Israel,ISR,2001,1998.0148
Italy,ITA,2001,1837.7606
Jamaica,JAM,2001,1970.6368
Japan,JPN,2001,1843.1
Latvia,LVA,2001,1987.1439
Lithuania,LTU,2001,1831.2194
Luxembourg,LUX,2001,1585.72
Malaysia,MYS,2001,2306.7595
Malta,MLT,2001,2159.3369
Mexico,MEX,2001,2285
Myanmar,MMR,2001,2444.8813
Netherlands,NLD,2001,1451.8977
New Zealand,NZL,2001,1825
Norway,NOR,2001,1430.8419
Pakistan,PAK,2001,2178.7424
Peru,PER,2001,1982.5784
Philippines,PHL,2001,2079.7271
Poland,POL,2001,2083.6909
Portugal,PRT,2001,1900.4532
Romania,ROU,2001,1852.4805
Russia,RUS,2001,1980
Saint Lucia,LCA,2001,1981.8158
Singapore,SGP,2001,2443.5063
Slovakia,SVK,2001,1800.7356
Slovenia,SVN,2001,1695.8896
South Africa,ZAF,2001,2376.3381
South Korea,KOR,2001,2495.9204
Spain,ESP,2001,1762.5
Sri Lanka,LKA,2001,1975.6603
Sweden,SWE,2001,1618.2073
Switzerland,CHE,2001,1672.8507
Taiwan,TWN,2001,2125.6169
Thailand,THA,2001,2404.644
Trinidad and Tobago,TTO,2001,1668.0447
Turkey,TUR,2001,1942
United Kingdom,GBR,2001,1695.9764
United States,USA,2001,1823.8229
Uruguay,URY,2001,1672.7721
Venezuela,VEN,2001,1869.4724
Vietnam,VNM,2001,2246.991
Argentina,ARG,2002,1710.0365
Australia,AUS,2002,1814.1021
Austria,AUT,2002,1782.8479
Bangladesh,BGD,2002,2044.2791
Belgium,BEL,2002,1582.7155
Brazil,BRA,2002,1818.7257
Bulgaria,BGR,2002,1651.2594
Cambodia,KHM,2002,2367.1667
Canada,CAN,2002,1753.5767
Chile,CHL,2002,2250
China,CHN,2002,2118.1997
Colombia,COL,2002,2032.2886
Costa Rica,CRI,2002,2362.696
Croatia,HRV,2002,1923.6655
Cyprus,CYP,2002,1923.2074
Czechia,CZE,2002,1816.5702
Denmark,DNK,2002,1462.6897
Ecuador,ECU,2002,1821.9598
Estonia,EST,2002,1972.6899
Finland,FIN,2002,1713.7766
France,FRA,2002,1497.3385
Germany,DEU,2002,1430.8605
Greece,GRC,2002,2093.2151
Hong Kong,HKG,2002,2343.4309
Hungary,HUN,2002,2005.2568
Iceland,ISL,2002,1694.9659
India,IND,2002,2088.8936
Indonesia,IDN,2002,1917.7333
Ireland,IRL,2002,1904.2762
Israel,ISR,2002,2015.5543
Italy,ITA,2002,1826.5938
Jamaica,JAM,2002,1965.5664
Japan,JPN,2002,1830.6
Latvia,LVA,2002,1937.8738
Lithuania,LTU,2002,1802.1711
Luxembourg,LUX,2002,1580.6825
Malaysia,MYS,2002,2334.0334
Malta,MLT,2002,2216.6877
Mexico,MEX,2002,2271
Myanmar,MMR,2002,2444.4875
Netherlands,NLD,2002,1434.8143
New Zealand,NZL,2002,1826
Norway,NOR,2002,1416.3457
Pakistan,PAK,2002,2169.9292
Peru,PER,2002,2003.0768
Philippines,PHL,2002,2061.2661
Poland,POL,2002,2078.4751
Portugal,PRT,2002,1893.5931
Romania,ROU,2002,1867.1761
Russia,RUS,2002,1982
Singapore,SGP,2002,2435.3835
Slovakia,SVK,2002,1754.074
Slovenia,SVN,2002,1720.5181
South Africa,ZAF,2002,2382.7659
South Korea,KOR,2002,2454.8811
Spain,ESP,2002,1764.574
Sri Lanka,LKA,2002,1812.2015
Sweden,SWE,2002,1594.8739
Switzerland,CHE,2002,1651.2583
Taiwan,TWN,2002,2111.8972
Thailand,THA,2002,2393.9397
Trinidad and Tobago,TTO,2002,1634.8004
Turkey,TUR,2002,1943
United Kingdom,GBR,2002,1678.5614
United States,USA,2002,1806.9037
Uruguay,URY,2002,1635.8788
Venezuela,VEN,2002,1829.0203
Vietnam,VNM,2002,2230.7598
Argentina,ARG,2003,1713.5746
Australia,AUS,2003,1806.7209
Austria,AUT,2003,1773.9779
Bangladesh,BGD,2003,1960.5166
Belgium,BEL,2003,1577.7917
Brazil,BRA,2003,1811.1825
Bulgaria,BGR,2003,1640.5111
Cambodia,KHM,2003,2366.4758
Canada,CAN,2003,1746.0255
Chile,CHL,2003,2235
China,CHN,2003,2138.0828
Colombia,COL,2003,2016.2488
Costa Rica,CRI,2003,2356.135
Croatia,HRV,2003,1924.7465
Cyprus,CYP,2003,1916.0952
Czechia,CZE,2003,1806.224
Denmark,DNK,2003,1457.644
Ecuador,ECU,2003,1833.1821
Estonia,EST,2003,1978.3347
Finland,FIN,2003,1705.2792
France,FRA,2003,1502.0975
Germany,DEU,2003,1424.7449
Greece,GRC,2003,2091.4788
Hong Kong,HKG,2003,2330.8987
Hungary,HUN,2003,1978.1667
Iceland,ISL,2003,1661.2688
India,IND,2003,2091.9958
Indonesia,IDN,2003,1941.8517
Ireland,IRL,2003,1886.7864
Israel,ISR,2003,1996.8781
Italy,ITA,2003,1815.7974
Japan,JPN,2003,1834.2
Latvia,LVA,2003,1927.734
Lithuania,LTU,2003,1785.8864
Luxembourg,LUX,2003,1578.9333
Malaysia,MYS,2003,2324.4751
Malta,MLT,2003,2191.6677
Mexico,MEX,2003,2277
Myanmar,MMR,2003,2444.0911
Netherlands,NLD,2003,1426.554
New Zealand,NZL,2003,1823
Norway,NOR,2003,1404.5042
Pakistan,PAK,2003,2184.9133
Peru,PER,2003,1985.3206
Philippines,PHL,2003,2077.873
Poland,POL,2003,2084.1721
Portugal,PRT,2003,1886.6373
Romania,ROU,2003,1837.0599
Russia,RUS,2003,1993
Singapore,SGP,2003,2440.1726
Slovakia,SVK,2003,1697.5651
Slovenia,SVN,2003,1723.8251
South Africa,ZAF,2003,2318.6794
South Korea,KOR,2003,2423.6482
Spain,ESP,2003,1755.9388
Sri Lanka,LKA,2003,1733.8713
Sweden,SWE,2003,1581.5632
Switzerland,CHE,2003,1664.5405
Taiwan,TWN,2003,2117.1011
Thailand,THA,2003,2383.6968
