Subject Name,University Name,Per Year Fees,About Program,Program Duration,University Location,Program Name
Data Science (Professional Hybrid),Saint Peter's University,"17,848 EUR / year",The Data Science Institute at Saint Peter's University is training the next generation of Data Science (Professional Hybrid) students offering a cutting edge academic program to meet such demands and train the next generation of data scientists.,1½ year,"Jersey City, New Jersey, United States",M.Sc. / Full-time / Blended
Data Science,Texas Tech University,"16,329 EUR / year",Data Science at Texas Tech University is offered by the College of Business.,1 year,"Lubbock, Texas, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Social Data Science,Arizona State University,,Explore the intersection of social science and data analytics with Arizona State University's Social Data Science MA program. This cutting-edge program empowers students to harness the power of data to address complex social challenges and drive meaningful change.,,"Tempe, Arizona, United States",M.A. / Full-time / On Campus
Data Science,University of Massachusetts Dartmouth,"40,936 EUR / year","The Data Science program of University of Massachusetts Dartmouth prepares you for leadership positions in data analytics, information management, and knowledge engineering. It is jointly offered by the departments of Computer Science in Engineering and Mathematics in Arts & Sciences.",1 year,"New York City, New York, United States",M.Sc. / Full-time / On Campus
Engineering Sciences (Data Sciences),University at Buffalo SUNY - School of Engineering and Applied Sciences,"22,384 EUR / year","The MS in Engineering Sciences (Data Sciences) from the University at Buffalo SUNY - School of Engineering and Applied Sciences, provides students with a core foundation in big data and analysis by obtaining knowledge, expertise, and training in data collection and management; data analytics; scalable data-driven discovery; and fundamental concepts. ",1 year,"Buffalo, New York, United States","M.Sc. / Full-time, Part-time / On Campus"
Data Science,University of Connecticut,"25,067 EUR / year",The Data Science from University of Connecticut allow sutdents to develop advanced knowledge and proficiency in core areas of data science and competencies in specialized domains through focused industry-aligned concentrations and practical hands-on applied learning and capstone projects. ,11 months,"Storrs, Connecticut, United States","Master / Full-time / Online, On Campus"
Psychology - Data Science in Human Behavior,University of Wisconsin Madison,"27,403 EUR / year","Use modern data science tools to analyze and understand human behavior with the Master of Science in Psychology - Data Science in Human Behavior at the University of
Wisconsin Madison.","1 year, 4 months","Madison, Wisconsin, United States",M.Sc. / Full-time / On Campus
Data Science,Bellevue University,"17,964 EUR / year","The Data Science program at Bellevue University is designed to prepare you to be in the driver’s seat to curate, analyze, and make relevant discoveries from large data sets. You’ll learn the tools, methodologies, and systems needed to solve complex problems in almost any field. ",1 year,Online,M.Sc. / Part-time / Online
Data Science,University of Houston Clear Lake,"17,907 EUR / year","The University of Houston Clear Lake's Master of Science in Data Science is the effective use of data to extract valuable information and solve problems. It incorporates multi-disciplinary theories and skills, including computer science, statistics, software engineering, and the application domains.",1 year,"Webster, Texas, United States",M.Sc. / Full-time / On Campus
Data Science,DePaul University,"22,022 EUR / year",The Data Science program at DePaul University will provide you with the technical knowledge and advanced computational skills to meet emerging challenges in big data analytics.,2 years,"Chicago, Illinois, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Applied Data Science (Online),Drexel University,"19,320 EUR / year","The Applied Data Science (Online) program from Drexel University is designed to provide students with a strong foundation in the emerging field of data science, with a focus on applied techniques.",1 year,Online,Postgraduate Certificate / Part-time / Online
Data Science,Lehigh University,"42,765 EUR / year","Lehigh University's M.S., Data Science, allows students from a wide range of backgrounds to gain the qualifications necessary to tap into the wealth of data science jobs, many of which require an advanced degree. ",1 year,"Bethlehem, Pennsylvania, United States",Master / Full-time / On Campus
Data Science,Rice University,"52,785 EUR / year","Rice University's Master of Data Science program is a professional, non-thesis degree designed to support the needs of interdisciplinary professionals. ",1 year,"Houston, Texas, United States","Master / Full-time, Part-time / Online, On Campus"
Data Sciences and Applications,University at Buffalo SUNY - School of Engineering and Applied Sciences,"22,384 EUR / year","The Master of Professional Studies in Data Sciences and Applications program at the University at Buffalo SUNY - School of Engineering and Applied Sciences will train students in analytics, including standard methods in data mining and machine learning, so they will possess the expertise to obtain insights from large and heterogeneous data sets.",1 year,"Buffalo, New York, United States",Master / Full-time / On Campus
Data Science,Seton Hall University,"30,101 EUR / year","Seton Hall University's Master of Science (MS) in Data Science program is designed for students who want to develop the skills needed to analyze and interpret complex data. Our program combines coursework in computer science, statistics, and business to prepare graduates for a variety of careers in data-driven industries.","1 year, 4 months",Online,M.Sc. / Part-time / Online
Data Science and Analytics,University of Maryland,"49,962 EUR / year","The MPS in Data Science and Analytics program from University of Maryland provides an education in the theory and practice of data science including mathematical and statistical foundations, computational approaches, and communication considerations.",1 year,"College Park, Maryland, United States",Master / Full-time / On Campus
Data Science,Grand Canyon University,"13,790 EUR / year","A Master of Science in Data Science degree from Grand Canyon University prepares professionals with a strong aptitude for mathematical reasoning and statistical computing for a career path in data analysis, essential to data-driven enterprises.",1½ year,Online,M.Sc. / Part-time / Online
Data Science,Hofstra University,"45,118 EUR / year","Master the skills you need for a highly successful career in data engineering, quantitative research, machine learning, and data analytics when you enroll in the Master of Science (MS) in Data Science at Hofstra University.",1 year,"Hempstead, New York, United States","M.Sc. / Full-time, Part-time / On Campus"
Data Science and Analytics,University of Missouri - Kansas City,"33,907 EUR / year",The Data Science and Analytics at University of Missouri - Kansas City will have students develop solutions for advanced problems using appropriate skills and knowledge in data science.,1 year,"Kansas City, Missouri, United States",M.Sc. / Full-time / On Campus
Data Science,University of Wisconsin Oshkosh,"29,063 EUR / year","Data Science at University of Wisconsin Oshkosh can be the foundation for a variety of lucrative occupations. Many of our graduates achieve director, manager and senior level positions in an array of data fields.",1 year,"Oshkosh, Wisconsin, United States",M.Sc. / Full-time / On Campus
Data Science,Utica University,"11,487 EUR / year",Never before in history have we been able to collect and access so much information about our fellow humans. The ability to distill meaning from that data can propel positive change in people’s lives. We offer a master degree in Data Science at Utica College. ,2 years,Online,M.Sc. / Part-time / Online
Data Science and Analytics (Online),California University of Pennsylvania,"16,015 EUR / full",California University of Pennsylvania's Data Science and Analytics (Online) Master's program offers a flexible and convenient pathway for individuals aspiring to become data scientists or advance their careers in data analytics.,,Online,Master / Full-time / Online
Data Science Dual Degree,University of Missouri - Kansas City,"33,907 EUR / year",The Data Science Dual Degree at University of Missouri - Kansas City will have students develop solutions for advanced problems using appropriate skills and knowledge in data science.,1 year,"Kansas City, Missouri, United States",M.Sc. / Full-time / On Campus
Data Science,Rutgers University,"29,340 EUR / year","The Department of Statistics is pleased to offer the Data Science program of Rutgers University. The MSDS is part of the professional Master Program in Data Science at Rutgers, offered by the Department of Statistics in close collaboration with the Department of Computer Science.",1 year,"New Brunswick, New Jersey, United States","M.Sc. / Full-time, Part-time / On Campus"
Data Science Fluency,Udacity,230 EUR / module,"Learn the data science process, including how to build effective data visualizations, and how to communicate with various stakeholders. The Data Science Fluency program is offered by Udacity.",1 days,Online,Pre-Master / Part-time / Online
Data Science,University of Wisconsin-Eau Claire,"29,063 EUR / year","The University of Wisconsin-Eau Claire's master of science in Data Science is a fully online degree program intended for students with a bachelor’s degree in math, statistics, analytics, computer science or marketing.",1 year,Online,M.Sc. / Part-time / Online
Data Science,University of Wisconsin Green Bay,"29,063 EUR / year",Data Science from University of Wisconsin Green Bay is entirely online and will teach you how to harness the power of big data using the latest tools and analytical methods.,1 year,Online,M.Sc. / Part-time / Online
Applied Data Science,Indiana University - Purdue University Indianapolis,"29,230 EUR / year",Our Applied Data Science at Indiana University - Purdue University Indianapolis curriculum includes instruction in client-server application development and the professional and ethical management of data science projects.,1 year,"Indianapolis, Indiana, United States",M.Sc. / Full-time / On Campus
Data Science,University of Wisconsin Milwaukee,"23,709 EUR / year","With every field turning to data to improve decision-making and performance, Data Science is one of the fastest growing professions today but there aren’t enough trained data analysts to fill that need. A Master’s degree in Data Science from University of Wisconsin Milwaukee that trains you to analyze data can therefore help you in finding jobs with attractive salaries. ",1 year,"Milwaukee, Wisconsin, United States",M.Sc. / Full-time / On Campus
Data Science - Computing,New Jersey Institute of Technology,"29,230 EUR / year","Housed in the Department of Computer Science from New Jersey Institute of Technology and offered in collaboration with the Department of Mathematical Sciences, the interdisciplinary Data Science - Computing equips you with the fundamentals and application tools to solve Data Science problems.",1 year,"Newark, New Jersey, United States",M.Sc. / Full-time / On Campus
Applied Data Science,Indiana University Northwest,"10,892 EUR / year",Learn to manage massive stores of data in the cloud and the data life cycle with our Master of Science in Applied Data Science at Indiana University Northwest.,2 years,"Indianapolis, Indiana, United States",M.Sc. / Full-time / On Campus
Data Product Manager,Udacity,218 EUR / module,Existing PMs wanting to get deeper tech expertise in the Data domain to be more self-sufficient during product development and maintenance process. The Data Product Manager program is offered by Udacity.,3 months,Online,Pre-Master / Part-time / Online
Global Management (Data Science),Arizona State University,,"Explore the intersection of global management and data science with Arizona State University's Global Management (Data Science) MGM program. This forward-thinking program integrates advanced data analytics with strategic management principles, preparing students to thrive in the data-driven global business landscape.",,"Tempe, Arizona, United States",Master / Full-time / On Campus
Applied Data Science,The University of St. Thomas (UST),"32,191 EUR / year","Introducing the University of St. Thomas (UST)'s Applied Data Science MS program: Immerse yourself in the world of data-driven insights and analytics at UST, where cutting-edge technology and advanced statistical methods converge to empower data scientists and decision-makers.",1 year,"Houston, Texas, United States","M.A. / Full-time, Part-time / On Campus"
Healthcare Data Science,University of Southern California,"35,784 EUR / year",The Healthcare Data Science MSc program offered at University of Southern California is an interdisciplinary joint degree program offered by the Viterbi School of Engineering and the Keck School of Medicine. ,2 years,"Los Angeles, California, United States",M.Sc. / Full-time / On Campus
Data Analytics for Social Sciences,University at Buffalo,"21,313 EUR / year","The Data Analytics for Social Sciences program of the University at Buffalo combines coursework and learning opportunities from our social sciences departments at UB: sociology, linguistics, psychology, geography, anthropology, communication, political science and economics.",2 years,"Buffalo, New York, United States",M.Sc. / Full-time / On Campus
Data Science and Analytics,New England College,"20,776 EUR / year","New England College offers a degree in Data Science and Analytics.With the growth of the digital age, businesses and organizations have access to unprecedented amounts of data. In order to turn this data into a competitive advantage, businesses must develop effective methods to analyze and interpret vast amounts of information. ",1 year,"Weare, New Hampshire, United States",M.Sc. / Full-time / On Campus
Business Analytics and Data Science,Oklahoma State University,"16,506 EUR / year",The Business Analytics and Data Science from Oklahoma State University (MS BAnDS) is a STEM designated program that develops the next generation of analytics and data science professionals to tackle real-world challenges.,"1 year, 9 months","Stillwater, Oklahoma, United States",M.Sc. / Full-time / On Campus
Data Science and Analytics (Online),New England College,"20,776 EUR / year","Data Science and Analytics (Online) at New England College uses business data from sources ranging from online dating, health care, transportation, industry, nuclear science, and many more to generate insights about populations and processes.",1½ year,Online,M.Sc. / Part-time / Online
Data Science,Willamette University,"47,332 EUR / year",The Willamette University offers a degree in Data Science. Take your analytical skills to the next level with our masters program designed for working professionals and recent graduates. ,1 year,"Oregon, Ohio, United States","M.Sc. / Full-time, Part-time / On Campus"
Applied Data Science,Coursera - University of Michigan,"32,070 EUR / year",The Master of Applied Data Science degree offered by Coursera in partnership with the University of Michigan is designed for aspiring data scientists to learn and apply skills through hands-on projects. You’ll learn how to use data to improve outcomes and achieve ambitious goals.,1 year,Online,M.Sc. / Part-time / Online
Data Science and Analytics,Buffalo State SUNY,"21,950 EUR / year","The M.S. in Data Science and Analytics from Buffalo State SUNY offers advanced practical training for in-demand modern skills to manipulate, organize and present data essential for informed, evidence-based decision-making and planning across industries.",1 year,"Buffalo, New York, United States",M.Sc. / Full-time / On Campus
Data Science,Harvard University,"50,071 EUR / year","The data landscape is rapidly changing and transforming nearly every discipline. In the Data Science degree program offered by Harvard University, you will develop the skills necessary to analyze, discover, and innovate in a data-rich world. And you’ll gain hands-on experience conducting interdisciplinary data science research.",1 year,"Cambridge, Massachusetts, United States","Master / Full-time, Part-time / Online, On Campus"
Environmental Data Science,University of Southern California,"71,568 EUR / year",The University of Southern California is one of the world’s leading private research universities. The Environmental Data Science MSc program offered by University of Southern California will consist of a set of required core and elective courses in both data science and course related to environmental studies.,1 year,"Los Angeles, California, United States",M.Sc. / Full-time / On Campus
Data Science,University of Wisconsin La Crosse,"19,014 EUR / year","Data Science from University of Wisconsin La Crosse is a smart choice for busy adult learners who want to advance their careers while balancing work, family, and other commitments.",1 year,Online,M.Sc. / Part-time / Online
Data Science (Online),Drexel University,"57,961 EUR / year",Stand out in one of the fastest growing fields in today’s job market with the online Master’s degree in Data Science (Online) at Drexel University.,1 year,Online,M.Sc. / Part-time / Online
Data Science and Business Analytics,Wayne State University,"49,103 EUR / year",Data Science and Business Analytics at Wayne State University is a fast-growing STEM field with a high demand for individuals who possess the skills and expertise necessary to navigate the process of transforming data into insight for making sound business decisions. ,1 year,"Detroit, Michigan, United States","M.A. / Full-time, Part-time / On Campus"
Data Science,Monroe College,"16,877 EUR / year","The 36-credit master's in Data Science from Monroe College is designed for students who hold an undergraduate degree in computer science, information technology, information systems, or a comparable discipline.",1 year,"Bronxville, New York, United States","M.Sc. / Full-time, Part-time / Online, On Campus, Blended"
Data Science and Engineering Online,The University of Maine,"12,157 EUR / year","The Data Science and Engineering Online degree from The University of Maine, trains students in the management, analysis, and visualization of large and complex data sets.",,Online,M.Sc. / Part-time / Online
Data Science and Analytics,University of Missouri - Columbia,"21,350 EUR / year","The University of Missouri - Columbia’s Master of Science in Data Science and Analytics ​degree is a 34-credit, online and mixed mode delivery, multidisciplinary program. ",1 year,"Columbia, Missouri, United States",M.Sc. / Full-time / On Campus
Discovering Data Science,Udacity,230 EUR / module,"Data science is one of the highest-impact, most in-demand skills. In this Discovering Data Science program at Udacity, we'll introduce you to the fundamental concepts and terms that you'll need to step into the world of data science.",1 days,Online,Pre-Master / Part-time / Online
Geospatial Data Sciences,University of Michigan,"50,794 EUR / year","As an Geospatial Data Sciences at the University of Michigan student, you will learn both the theory and the applications of advanced computational and analytical techniques. ",1 year,"Ann Arbor, Michigan, United States",Master / Full-time / On Campus
"Data Science, Residential",University of Virginia,"50,225 EUR / full","Students in the M.S. in Data Science, Residential from University of Virginia program are taught by world-class faculty with industry experience, collaborate on team capstone projects sponsored by corporate and government partners, and learn the importance of ethical and responsible data use to benefit the society and the common good.",11 months,"Charlottesville, Virginia, United States",Master / Full-time / On Campus
Data Science (Online),New Jersey Institute of Technology,"29,230 EUR / year","This Data Science (Online) program at New Jersey Institute of Technology provides students a strong understanding of basic and advanced methods in statistical inference, machine learning, data visualization, data mining, and big data, all of which are essential skills for a high-performing data scientist.",1 year,Online,M.Sc. / Part-time / Online
Data Science,Saint Peter's University,"21,590 EUR / year",The Data Science Institute at Saint Peter’s University is training the next generation of data scientists to meet this demand with its innovative Master of Science in Data Science program.,1½ year,"Jersey City, New Jersey, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Biomedical Data Science,Icahn School of Medicine at Mount Sinai,"18,684 EUR / year","The Master of Science in Biomedical Data Science program at the Icahn School of Medicine at Mount Sinai integrates training and education in various aspects of biomedical sciences with machine learning, computer systems, and big data analysis, as well as access to large electronic medical record-linked biomedical repositories. ",2 years,"New York City, New York, United States",M.Sc. / Full-time / On Campus
Business Analytics and Data Science (Online),Oklahoma State University,"16,137 EUR / year",The  Business Analytics and Data Science (Online) from Oklahoma State University is a STEM-designated program that trains those who are currently in the workforce to transition as analytics and data science professionals and tackle real-world challenges.,1 year,Online,M.Sc. / Part-time / Online
Data Science,Middle Tennessee State University,"17,327 EUR / year","Data Science at Middle Tennessee State University is widely used in modern industrial production, business, and social media, and is making an increasing impact on human life.",2 years,"Murfreesboro, Tennessee, United States","M.Sc. / Full-time, Part-time / On Campus, Blended"
Health Informatics and Data Science,Georgetown University,"52,259 EUR / year","The Master’s in Health Informatics and Data Science program from Georgetown University is designed to help you develop core competencies in data science, health-related data, predictive analytics, machine learning (ML), Artificial Intelligence (AI) and other advanced technologies.",1½ year,"Washington, D. C., Washington, D.C., United States","M.Sc. / Full-time, Part-time / On Campus"
Data Science and Analytics,Ferris State University,"15,431 EUR / year","Data Science and Analytics at at Ferris State University is a growing field that uses data to gather intelligence in business, marketing, finance, accounting, human resources, insurance, homeland security, criminal justice, education, government, healthcare, and manufacturing. ",2 years,"Big Rapids, Michigan, United States","Master / Full-time / Online, On Campus"
Interdisciplinary Data Science,Duke University,"28,888 EUR / year","The Master in Interdisciplinary Data Science program offered by Duke University combines rigorous computational and technical training with field knowledge and repeated practice in critical thinking, teamwork, communication, and collaborative leadership to generate data scientists who can add value to any field.",2 years,"Durham, North Carolina, United States",M.Sc. / Full-time / On Campus
Data Science (Online),Rice University,"28,608 EUR / year","With a master’s degree in Data Science (Online) at Rice University, you can break into one of the world’s fastest growing fields. ","1 year, 8 months",Online,Master / Part-time / Online
Data Science (Online),Drexel University,"38,641 EUR / year","The Data Science (Online) program from Drexel University prepares you for success in this rapidly growing field. Data science is seeing a resurgence thanks to the tremendous amounts of data available, and the demand for workers with relevant skills far outpaces the supply.",1 year,Online,Postgraduate Certificate / Part-time / Online
Spatial Data Science,University of Southern California,"71,568 EUR / year","The Spatial Data Science MSc program is a cross-disciplinary joint degree program at University of Southern California offered by the Viterbi School of Engineering and the Dornsife College of Letters, Arts and Sciences. Students must be admitted by both the Viterbi School of Engineering and the Dornsife College of Letters, Arts and Sciences.",1 year,"Los Angeles, California, United States",M.Sc. / Full-time / On Campus
Data Science and Business Analytics,University of Texas at Austin McCombs School of Business,"3,506 EUR / full",The Post Graduate Program in Data Science and Business Analytics (PGP-DSBA) is a 7-month online program offered by the McCombs School of Business at The University of Texas at Austin and delivered in collaboration with Great Learning. ,½ year,Online,Postgraduate Certificate / Part-time / Online
Data Science,University of Washington,"29,996 EUR / year",Join one of the leading data science programs in the nation and accelerate your high-tech career in data science with this Data Science master's program at the University of Washington.,1½ year,"Seattle, Washington, United States","M.Sc. / Full-time, Part-time / On Campus"
Data Science,Mercyhurst University,"16,228 EUR / year",Mercyhurst University's Data Science MS program is a renowned choice for those seeking advanced education in the field of data science.,"1 year, 9 months","Erie, Pennsylvania, United States",M.Sc. / Full-time / On Campus
Artificial Intelligence and Machine Learning for Data Science (Online),Drexel University,"19,320 EUR / year","This Artificial Intelligence and Machine Learning for Data Science (Online) program prepares from Drexel University provides the quantitative foundation, data analysis and interpretation, machine learning, artificial intelligence, and deep learning necessary for in-demand positions in artificial intelligence and machine learning.",1 year,Online,Postgraduate Certificate / Part-time / Online
Machine Learning and Data Science,Coursera - Imperial College London,"20,026 EUR / year","In this Machine Learning and Data Science course offered by Coursera in partnership with Imperial College London, you will develop an in-depth understanding of machine learning methods, alongside invaluable practical skills and guided experience in applying them to real-world problems. ",2 years,Online,M.Sc. / Part-time / Online
