"title","brand","description","stars","reviewsCount","price/currency","price/value","breadCrumbs","asin","url"
"Food Scale -33lb Digital Kitchen Scale for Food Ounces Grams Rechargeable 304 Stainless Steel,Batteries and Type-C Charging | Perfect for Meal Prep, Cooking, and Baking, Black","GGQ",,"4.5","1069","$","14.44","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Measuring Tools & Scales › Scales › Digital Scales","B0BYN6Q8L7","https://www.amazon.com/dp/B0BYN6Q8L7"
"Kitsure Dish Drying Rack- Space-Saving, for Kitchen Counter, Durable Stainless Steel Rack with a Cutlery Holder, for Dishes, Knives, Spoons, and Forks","Kitsure",,"4.5","5780","$","22.99","Home & Kitchen › Kitchen & Dining › Storage & Organization › Racks & Holders › Dish Racks","B0B4K1XH8Y","https://www.amazon.com/dp/B0B4K1XH8Y"
"T-fal Signature Nonstick Cookware Set 12 Piece Oven Safe 350F Pots and Pans, Dishwasher Safe Black","T-fal","T-fal Signature PTFE cookware for the everyday chef with superior non-stick interior for easy cooking and cleanup. *This product contains PTFE for its non-stick properties. For more information about chemicals in this product, visit: www.t-falusa.com/cookware-commitments.","4.7","17264","$","71.19","Home & Kitchen › Kitchen & Dining › Cookware › Cookware Sets","B001167VIQ","https://www.amazon.com/dp/B001167VIQ"
"Milk Frother Handheld for Coffee with Stand - AGFOO hand frother wand, Electric whisk Drink Mixer Mini Foamer for Cappuccino, Frappe, Matcha, Hot Chocolate, Silver/Black","AGFOO",,"4.3","1561","$","5.38","Home & Kitchen › Kitchen & Dining › Coffee, Tea & Espresso › Milk Frothers","B0C4X2PTZV","https://www.amazon.com/dp/B0C4X2PTZV"
"PAKITNER- Safe Cut Can Opener for Kitchen & Restaurant - handheld, Manual, Ergonomic Smooth Edge, Food Grade Stainless Steel Cutting","PAKITNER",,"4.4","14899","$","9.99","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Can Openers › Manual","B0761PZC5F","https://www.amazon.com/dp/B0761PZC5F"
"Meat Chopper for Ground Beef, Heat Resistant Meat Masher for Hamburger Meat, 5 Curved Blades Ground Beef Smasher, Nylon Meat Spatula Chopper, Non Stick Hamburger Chopper, Mix and Chop Kitchen Tool","LITTLE COOK SINCE 1995",,"4.7","791","$","6.99","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Seasoning & Spice Tools › Choppers & Mincers › Choppers","B0C3B21Y24","https://www.amazon.com/dp/B0C3B21Y24"
"Gram Scale, Mini Scale Digital Pocket Scale,200g x 0.01g,Digital Grams Scale, Food Scale, Jewelry Scale Black, Kitchen Scale With100g Calibration Weight","Weigh Gram",,"4.6","47254","$","10.99","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Measuring Tools & Scales › Scales › Digital Scales","B06Y61YW7S","https://www.amazon.com/dp/B06Y61YW7S"
"Cisily Sponge Holder for Kitchen Sink, Sink Caddy with High Brush Holder, Organzier Rustproof 304 Stainless Steel Dish Organizer Divider, Soap Dispenser Storage","Cisily",,"4.7","589","$","19.99","Home & Kitchen › Kitchen & Dining › Storage & Organization › Kitchen Storage & Organization Accessories","B0C3QZ7SNF","https://www.amazon.com/dp/B0C3QZ7SNF"
"Cord Organizer for Appliance - Kitchen Appliance Cord Organizer Stick On, Best Kitchen Gadgets Gifts for New Home Must Haves, New Apartment Kitchen Stuff, Kitchen Gifts for Women Adults Mom Wife","Animal-Gifts",,"4.3","3646","$","11.99","Home & Kitchen › Kitchen & Dining › Small Appliance Parts & Accessories › Pressure Cooker Parts & Accessories › Accessories","B0B874CNFW","https://www.amazon.com/dp/B0B874CNFW"
"TILUCK Measuring Cups & Spoons Set, Stackable Cups and Spoons, Nesting Measure Cups with Stainless Steel Handle, Kitchen Gadgets for Cooking & Baking (Black)","TILUCK",,"4.7","3353","$","8.48","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Measuring Tools & Scales › Spoons","B09SG1M7R2","https://www.amazon.com/dp/B09SG1M7R2"
"KitchenClouds Kitchen Mat Cushioned Anti Fatigue Rug 17.3""x28"" Waterproof, Non Slip, Standing and Comfort Desk/Floor Mats for House Sink Office (Black)","KitchenClouds",,"4.4","14425","$","15.49","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Kitchen Accessories › Comfort Mats","B09CYDRFWQ","https://www.amazon.com/dp/B09CYDRFWQ"
"Holikme 3 Pack Dish Brush Set with Bamboo Handle, Kitchen Scrub Brush for Cleaning Dish, Pot, Sink and Stove, Skillet Scrubber with Tough Bristles for Cast Iron Grill Pan, Yellow","Holikme",,"4.6","405","$","5.95","Health & Household › Household Supplies › Cleaning Tools › Brushes","B0CGH866PV","https://www.amazon.com/dp/B0CGH866PV"
"Yonanas 902 Classic Vegan, Dairy-Free Frozen Fruit Soft Serve Maker, Includes 36 Recipes, 200-Watts, Silver","Yonanas","If you can slice and freeze fruit, you can use Yonanas! In just a few minutes, make wholesome, delicious, vegan and dairy free desserts with no added fats, sugars, or additives. Create your own or use the 36 included recipes. All removable parts are top rack dishwasher safe and BPA free.","4.3","19155","$","30.4","Home & Kitchen › Kitchen & Dining › Small Appliances › Ice Cream Machines","B005083ECS","https://www.amazon.com/dp/B005083ECS"
"Meat Thermometer Digital - Fast Instant Read Food Thermometer for Cooking, Candy Making, Outside Grill, Waterproof Kitchen Thermometer with Backlight & Hold Function - Red","AWLKIM",,"4.6","3787","$","7.99","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Thermometers & Timers › Meat","B0C37DLHWW","https://www.amazon.com/dp/B0C37DLHWW"
"Elite Gourmet ECT1027B Cool Touch Toaster with 6 Temperature Settings & Extra Wide 1.25"" Slots for Bagels, Waffles, Specialty Breads, Puff Pastry, Snacks, ETL Certified, 2 Slices, Black","Elite Gourmet","Enjoy perfectly toasted bread, bagels, English muffins and more with the Elite Cuisine 2-Slice cool touch toaster. Its 6 variable toasting shades allow you to toast to your perfect liking every time. It features a toasting lever for easy and safe removal of breads, a handy cancel function to pre-stop your toasting cycle If needed, and a cool-touch exterior for safe handling. It also features a convenient drop-down crumb tray for fast and easy cleanup.","4.3","1937","$","15.99","Home & Kitchen › Kitchen & Dining › Small Appliances › Ovens & Toasters › Toasters","B0CB1SSWRM","https://www.amazon.com/dp/B0CB1SSWRM"
"2 Pack Under Sink Organizers and Storage, 2 Tier Sliding Bathroom organizer,Multi-Use Under Kitchen Cabinet Storage Shelf (Black 2Pack)","Sevenblue",,"4.6","2064","$","22.99","Home & Kitchen › Kitchen & Dining › Storage & Organization › Racks & Holders › Under-Sink Organizers","B0BQHPHS5W","https://www.amazon.com/dp/B0BQHPHS5W"
"Pyrex 4-Cup Glass Measuring Cup For Baking and Cooking, Dishwasher, Freezer, Microwave, and Preheated Oven Safe, Essential Kitchen Tools","Pyrex","Generations of bakers and cooks have relied on the Pyrex® measuring cup. It's marked in red for at-a-glance precision, with a handle and spout designed for controlled pouring. The durable high-quality tempered glass you've come to trust is perfect for both wet and dry ingredients, and lets you melt butter, chocolate and more, right in the cup. Plus, it's always dishwasher safe for easy cleanup.","4.7","1377","$","9.99","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Measuring Tools & Scales › Cups","B0BSK2HF19","https://www.amazon.com/dp/B0BSK2HF19"
"Ninja BL770 Mega Kitchen System, 1500W, 4 Functions for Smoothies, Processing, Dough, Drinks & More, with 72-oz.* Blender Pitcher, 64-oz. Processor Bowl, (2) 16-oz. To-Go Cups & (2) Lids, Black","Ninja","The Ninja mega kitchen system comes packed with 1500 watts of power to handle all of your drink and meal making needs. The XL 72 oz. blender pitcher features total crushing technology to blast through ice and frozen fruit. Two 16 oz. Nutri Ninja Cups with to go lids are perfect for creating personalized, nutrient rich drinks to take on the go. The 8 Cup food Processor bowl comes equipped with a chopping blade for perfect, even results and a dough blade that can mix up to 2 lbs. Of dough in 30 seconds.","4.7","37428","$","149.99","Home & Kitchen › Kitchen & Dining › Small Appliances › Food Processors","B00939I7EK","https://www.amazon.com/dp/B00939I7EK"
"Stackable Round Ice Cube Tray Set with Lid & Bin – Create 99PCS Round Ice Balls, Ice Trays for Freezer is Easy to Release & Sturdy– Small Pellet Ice Maker for Drinks, Coffee and Cocktails","DclobTop",,"4.6","1067","$","11.99","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Specialty Tools & Gadgets › Ice Cube Molds & Trays","B0C3LPTR8R","https://www.amazon.com/dp/B0C3LPTR8R"
"Amazer Dish Brush with Handle, 2 Pack Kitchen Scrub Brushes for Cleaning, Dish Scrubber with Stiff Bristles for Sink, Pots, Pans","Amazer",,"4.6","9106","$","8.09","Health & Household › Household Supplies › Cleaning Tools › Brushes","B06Y5JW8NY","https://www.amazon.com/dp/B06Y5JW8NY"
"PRAKI Airtight Food Storage Containers Set with Lids - 24 PCS, BPA Free Kitchen and Pantry Organization, Plastic Leak-proof Canisters for Cereal Flour & Sugar - Labels & Marker","PRAKI",,"4.7","12530","$","29.99","Home & Kitchen › Kitchen & Dining › Storage & Organization › Food Storage › Food Containers › Container Sets","B097K4B6Z8","https://www.amazon.com/dp/B097K4B6Z8"
"ClearSpace Plastic Storage Bins – Perfect Kitchen Organization or Pantry Storage – Fridge Organizer, Pantry Organization and Storage Bins, Cabinet Organizers","ClearSpace",,"4.8","10661","$","35.99","Home & Kitchen › Kitchen & Dining › Storage & Organization › Kitchen Storage & Organization Accessories","B08BQBNXSQ","https://www.amazon.com/dp/B08BQBNXSQ"
"Lifewit Silverware Drawer Organizer, Expandable Utensil Tray for Kitchen, BPA Free Flatware and Cutlery Holder, Adjustable Plastic Storage for Spoons Forks Knives, Large, Black","Lifewit",,"4.7","7251","$","18.99","Home & Kitchen › Kitchen & Dining › Storage & Organization › Racks & Holders › Cabinet & Drawer Organization › Flatware Organizers","B0B6N7CR8C","https://www.amazon.com/dp/B0B6N7CR8C"
"KongNai Kitchen Funnel Set 4 Pack, Small and Large, Kitchen Gadgets Accessories Foldable Silicone Collapsible Funnels for Filling Water Bottle Liquid Transfer Food Grade","KongNai",,"4.6","22274","$","6.98","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Specialty Tools & Gadgets › Funnels","B0796RL27B","https://www.amazon.com/dp/B0796RL27B"
"Meat Thermometer Digital, Instant Read Meat Thermometer for Grill and Cooking, Waterproof Food Thermometer for Kitchen and Outside, BBQ, Turkey, Candy, Liquids, Beef","ROUUO",,"4.7","12392","$","9.99","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Thermometers & Timers › Meat","B0CP3M7JB8","https://www.amazon.com/dp/B0CP3M7JB8"
"Horsepower Scrubber AS-SEEN-ON-TV Waterproof Rechargeable Handheld 350 RPM Includes 5 Brush Heads, Blast Away Dirt & Grime, Tile Grout, Bathrooms, Kitchen, Auto Rims, Outdoor Furniture","RUBY HORSEPOWER",,"4.7","29","$","49.99","Home & Kitchen › Kitchen & Dining › Storage & Organization › Kitchen Storage & Organization Accessories","B0CPGFQJM4","https://www.amazon.com/dp/B0CPGFQJM4"
"3Pcs Crevice Cleaning Brush Hard Bristle Crevice Cleaning Brush New Multifunctional Corners Cleaning Brush Tool Thin Gap Brush Grout Cleaner Brush Bathroom Kitchens","Hiyniaz",,"4.5","464","$","7.59","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Fruit & Vegetable Tools › Cleaning Brushes","B0CM8FQXXH","https://www.amazon.com/dp/B0CM8FQXXH"
"KITEXPERT Meat Tenderizer Hammer with Comfortable-Grip Handle, Dual-side Mallet for Kitchen, Heavy Duty Pounder For Tenderizing Steak, Beef and Fish","KITEXPERT",,"4.7","2575","$","8.99","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Meat & Poultry Tools › Tenderizers","B09QMFY1QC","https://www.amazon.com/dp/B09QMFY1QC"
"CAROTE Pots and Pans Set Nonstick, White Granite Induction Kitchen Cookware Set, 10 Pcs Non Stick Cooking Set w/Frying Pans & Saucepans(PFOS, PFOA Free)","CAROTE",,"4.5","19569","$","79.99","Home & Kitchen › Kitchen & Dining › Cookware › Cookware Sets","B09KHBBCKW","https://www.amazon.com/dp/B09KHBBCKW"
"Scotch-Brite Zero Scratch Scrub Sponges, 3 Kitchen Sponges for Washing Dishes and Cleaning the Kitchen and Bath, Non-Scratch Sponge Safe for Non-Stick Cookware","Scotch-Brite","Experience a gratifying clean with Scotch-Brite Zero Scratch Non-Scratch Scrub Sponges. These scrubber sponges are 3x quicker compared to leading temperature-reactive sponges [based on lab-developed studies measuring scouring ability after repeated use]. Use these non-scratch sponges for cleaning of everyday grease, grime and dirt on safe-to-use surfaces, such as non-stick cookware, countertops and tubs. Non-stick cookware benefits when using these kitchen sponges since they will not remove the protective coatings of your pots and pans. Even the messiest of dishes and surfaces will shine like new with a quick and easy scrub from these dish sponges. The scrubbing fibers of these sponges are made from 100% recycled content for a sustainable clean. To clean, put your cleaning sponge in the dishwasher top rack to sanitize and reuse it. Scotch-Brite gives you the power to clean up life’s everyday messes — in the kitchen and beyond. From everyday jobs to cleaning hacks, you'll see why Scotch-Brite Brand is America’s #1 selling scrub sponge brand.","4.8","71523","$","3.32","Health & Household › Household Supplies › Cleaning Tools › Sponges","B000SSS6AU","https://www.amazon.com/dp/B000SSS6AU"
"Geedel Rotary Cheese Grater, Kitchen Mandoline Vegetable Slicer with 3 Interchangeable Blades, Easy to Clean Grater for Fruit, Vegetables, Nuts","Geedel",,"4.6","21052","$","26.97","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Graters, Peelers & Slicers › Graters","B07P6G5L35","https://www.amazon.com/dp/B07P6G5L35"
"Zulay Kitchen Metal 2-in-1 Lemon Squeezer - Sturdy Max Extraction Hand Juicer Lemon Squeezer Gets Every Last Drop - Easy to Clean Manual Citrus Juicer - Easy-Use Lemon Juicer Squeezer - Yellow/Green","Zulay Kitchen",,"4.7","43571","$","14.99","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Fruit & Vegetable Tools › Manual Juicers","B00YBP918M","https://www.amazon.com/dp/B00YBP918M"
"Hard Bristle Crevice Cleaning Brush, Small Cleaning Brushes, Grout Cleaner Brush, Toilet Brush, Scrub Brush for Shower Tile, Skinny Gap Cleaning Tools for Household Use, Bathroom, Kitchen (3)","Koxuky",,"4.6","2678","$","6.98","Health & Household › Household Supplies › Cleaning Tools › Brushes","B0CCJH1MLH","https://www.amazon.com/dp/B0CCJH1MLH"
"Kitchen Mama Auto Electric Can Opener: Open Your Cans with A Simple Press of Button - Automatic, Hands Free, Smooth Edge, Food-Safe, Battery Operated, YES YOU CAN (Red)","Kitchen Mama",,"4.3","98060","$","29.99","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Can Openers › Electric","B07FVQLBL3","https://www.amazon.com/dp/B07FVQLBL3"
"BLACK+DECKER 4-Slice Crisp 'N Bake Air Fry Toaster Oven, TO1787SS, 5 Cooking Functions, 30 Minute Timer, Stainless Steel","BLACK+DECKER","Deep fried taste without the fat! This oven features Air Fry Technology, which uses high intensity hot air to bake, brown, and crisp your favorite fried foods with little to no oil. The included air fry mesh tray allows hot air to surround food for fast, crisp results. Two control knobs simplify cooking, letting you set the 30-minute timer and choose from five cooking functions: Air Fry, Bake, Broil, Toast, and Keep Warm. On the toasting function, Even Toast Technology™ evenly distributes heat and infrared energy to optimize even toasting. The interior is large enough to fit up to 4 slices of bread or a 9” pizza, and it’s great for fresh or frozen snacks. Innovative features and reliable performance help make BLACK+DECKER the #1 brand in toaster ovens*. We stand behind our appliances with a 2-year limited warranty so you and your family can depend on them in your kitchen.","4.3","6460","$","47.83","Home & Kitchen › Kitchen & Dining › Small Appliances › Ovens & Toasters › Toaster Ovens","B0CKLXZRMC","https://www.amazon.com/dp/B0CKLXZRMC"
"Gracula Garlic Crusher by OTOTO - Vampire Garlic Mincer, Works on Herbs, Ginger, Nuts, Chili - Garlic Grinder, Funny Kitchen Gadgets Cooking Gifts Cool Gadgets 2024 Funny Kitchen Gifts Garlic Chopper","OTOTO",,"4.5","6787","$","14.95","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Seasoning & Spice Tools › Garlic Tools › Garlic Peelers","B076CTTZKX","https://www.amazon.com/dp/B076CTTZKX"
"PRAKI Airtight Food Storage Container Set, 16 Pcs BPA Free Plastic Dry Food Canisters for Kitchen Pantry Organization and Storage Ideal for Cereal, Flour & Sugar - Labels, Marker(Black)","PRAKI",,"4.7","7682","$","24.59","Home & Kitchen › Kitchen & Dining › Storage & Organization › Food Storage › Food Containers › Container Sets","B08TWBX7KT","https://www.amazon.com/dp/B08TWBX7KT"
"Tovolo Vented Collapsible Medium Microwave Cover (Charcoal) - Splatter Guard & Colander Kitchen Gadget for Food & Meal Prep / Dishwasher-Safe, BPA-Free Silicone & Plastic","Tovolo","Minimize microwave messes with Tovolo‚Äôs Collapsible Microwave Food Cover. Its pop-up design allows you to cover dishes up to 3"" tall to eliminate messy splatters then collapse it to a slim 0.75"" for easy storage. The vented cover contains splatters without trapping steam, which eliminates both messes and troublesome condensation. The airflow encourages even heating for a perfectly cooked meal. With the help of the easy grip handle, you can remove the cover from your food quickly. Sturdy plastic and silicone are BPA-free, food-safe, and dishwasher-safe. At Tovolo, we believe time spent cooking should be fun! We strive to improve our customers‚ relationship with cooking by designing products that deliver trustworthy performance and genuine enjoyment. We strive to be the leader in kitchen tool innovation while bringing smiles to our customers. Our tools make home chefs feel confident and happy in the kitchen. With our tools, we hope you bake cookies for your neighbor. Teach your child your grandmother‚s secret recipe. Surprise your coworkers with a treat. Share the joy of cooking and eating‚Äîit brings us all together.","4.6","67624","$","9.99","Home & Kitchen › Kitchen & Dining › Cookware › Lids","B07GTC4NCV","https://www.amazon.com/dp/B07GTC4NCV"
"GLAD ForceFlex Tall Kitchen Drawstring Trash Bags, 13 Gallon White Trash Bag for Kitchen Trash Can, Gain Moonlight Breeze with Febreze Freshness and Leak Protection, 110 Count (Package May Vary)","Glad","Fight nasty kitchen odors with Glad trash bags and the steady release of Febreze freshness. Glad Tall Kitchen Drawstring Trash Bags are designed with ForceFlex technology to give extra flex as it expands around sharp edges and heavy loads, so you can pack it in while resisting tears, rips and punctures. A steady release of Gain Moonlight Breeze scent with Febreze Freshness keeps your kitchen pleasantly fresh smelling with long lasting odor control. Let the stretchable strength of Glad handle all the messes our busy daily life can throw at it and then some. With double-sided seals and a reinforced bottom, these bags are designed with RipGuard and LeakGuard technology to prevent seepage of liquids and keep trash contained. The durable Grips-The-Can Drawstring ensures a tight grip on the trash can to keep it in place. Take the trash to the curb with no fear of leaks and tears, and no frustration. Keep your kitchen smelling clean with the stretchable strength of Glad.","4.8","14396","$","19.97","Health & Household › Household Supplies › Paper & Plastic › Trash, Compost & Lawn Bags › Trash Bags","B087RLL1J5","https://www.amazon.com/dp/B087RLL1J5"
"Reynolds Kitchens Slow Cooker Liners, Regular (Fits 3-8 Quarts), 6 Count (Pack of 2), 12 Total","Reynolds","Make memorable meals with Reynolds Kitchens Slow Cooker Liners, and save time on cleanup. Grab these slow cooker bags for slow cooking without dealing with stubborn, stuck-on messes. Simply lift the slow cooker liner when the cooking is done and your slow cooker is clean in less than eight seconds—guaranteed! Each slow cooker bag measures 13 x 21 inches to fit 1- to 3-quart round and oval slow cookers, and is made with a BPA-free heat resistant (up to 400 degrees Fahrenheit) nylon-blend construction. Spend more time with your loved ones and less time in the kitchen with these FDA-compliant, food-safe Reynolds Kitchens Slow Cooker Liners.","4.8","19120","$","6.96","Home & Kitchen › Kitchen & Dining › Small Appliances › Slow Cookers","B0765CN7CM","https://www.amazon.com/dp/B0765CN7CM"
"Seropy Roll Up Dish Drying Rack, Over The Sink Dish Drying Rack Kitchen Rolling Dish Drainer, Foldable Sink Rack Mat Stainless Steel Wire Dish Drying Rack for Kitchen Sink Counter Storage 17.5x11.8","Seropy",,"4.6","36568","$","6.82","Home & Kitchen › Kitchen & Dining › Storage & Organization › Racks & Holders › Dish Racks","B08S6M3NXV","https://www.amazon.com/dp/B08S6M3NXV"
