Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
UAE,"1,067,030",,"2,349",,N/A,N/A,N/A,,"105,837",233,"200,732,262","19,910,389","10,081,785"
Panama,"1,059,742",,"8,726",,"1,050,908",,108,16,"238,307","1,962","7,847,296","1,764,641","4,446,964"
Uruguay,"1,041,111",,"7,664",,"1,030,944",,"2,503",18,"297,799","2,192","6,114,822","1,749,083","3,496,016"
Mongolia,"1,011,456",,"2,284",,"1,009,172",,0,N/A,"299,418",676,"4,030,048","1,193,000","3,378,078"
Nepal,"1,003,450",,"12,031",,"991,322",,97,,"33,199",398,"6,047,766","200,088","30,225,582"
Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800"
Latvia,"982,232",,"6,675",,"971,406",,"4,151",,"531,270","3,610","7,885,792","4,265,272","1,848,837"
Saudi Arabia,"841,469",,"9,646",,N/A,N/A,N/A,,"23,475",269,"45,481,735","1,268,848","35,844,909"
Paraguay,"837,602",,"20,151",,N/A,N/A,N/A,N/A,"114,648","2,758","2,657,506","363,751","7,305,843"
Azerbaijan,"834,630",,"10,400",,"824,089",,141,,"81,030","1,010","7,748,050","752,223","10,300,205"
Bahrain,"729,549",,"1,574",,"727,915",,60,N/A,"408,944",882,"10,948,549","6,137,138","1,783,983"
Cyprus,"681,110",,"1,365",,"679,745",,0,,"556,741","1,116","9,640,118","7,879,860","1,223,387"
Dominican Republic,"674,608",,"4,384",,"669,198",,"1,026",4,"61,015",397,"3,740,928","338,350","11,056,370"
Sri Lanka,"672,748",,"16,897",,"655,852",,-1,,"31,181",783,"6,486,117","300,619","21,575,842"
Kuwait,"667,026",,"2,570",,N/A,N/A,N/A,,"152,278",587,"8,455,743","1,930,391","4,380,326"
Myanmar,"641,770",,"19,495",,"620,159",,"2,116",,"11,621",353,"11,656,269","211,061","55,227,143"
Moldova,"634,130",,"12,202",,N/A,N/A,N/A,N/A,"158,012","3,040","3,216,305","801,437","4,013,171"
Estonia,"627,743",,"3,001",,N/A,N/A,N/A,N/A,"474,876","2,270","6,939,567","5,249,652","1,321,910"
Palestine,"621,008",,"5,404",,"615,445",,159,,"116,173","1,011","3,078,533","575,907","5,345,541"
Venezuela,"552,695",,"5,856",,"546,537",,302,31,"18,885",200,"3,359,014","114,771","29,266,991"
Egypt,"516,023",,"24,613",,"442,182",,"49,228",122,"4,861",232,"3,693,367","34,792","106,156,692"
Qatar,"514,524",,690,,"513,687",,147,16,"172,664",232,"4,065,369","1,364,257","2,979,915"
Libya,"507,274",,"6,437",,"500,835",,2,,"72,048",914,"2,483,848","352,782","7,040,745"
Ethiopia,"501,117",,"7,574",,"488,171",,"5,372",,"4,148",63,"5,565,340","46,066","120,812,698"
Réunion,"494,595",,921,,N/A,N/A,N/A,N/A,"544,672","1,014","1,603,660","1,766,027","908,061"
Honduras,"474,590",,"11,165",,N/A,N/A,N/A,N/A,"46,432","1,092","1,660,662","162,472","10,221,247"
Armenia,"451,426",,"8,776",,"435,162",,"7,488",,"151,895","2,953","3,242,901","1,091,164","2,971,966"
Bosnia and Herzegovina,"403,565",,"16,382",,"379,084",,"8,099",,"124,200","5,042","1,884,721","580,036","3,249,317"
Oman,"399,449",,"4,628",,N/A,N/A,N/A,,"75,028",869,"25,000,000","4,695,724","5,323,993"
Luxembourg,"391,020",,"1,232",,N/A,N/A,N/A,,"608,714","1,918","4,587,145","7,140,959","642,371"
North Macedonia,"350,509",,"9,971",,"337,068",,"3,470",,"168,408","4,791","2,226,216","1,069,626","2,081,304"
Zambia,"349,304",,"4,069",,"341,316",,"3,919",,"17,940",209,"4,112,961","211,244","19,470,234"
Kenya,"344,130",,"5,689",,"337,309",,"1,132",N/A,"6,122",101,"3,967,062","70,569","56,215,221"
Brunei,"342,802",,225,,"243,601",,"98,976",3,"769,596",505,"717,784","1,611,437","445,431"
Albania,"334,863",,"3,605",,"330,233",,"1,025",,"116,825","1,258","1,941,032","677,173","2,866,374"
Botswana,"330,442",,"2,801",,"327,049",,592,1,"135,363","1,147","2,026,898","830,300","2,441,162"
Montenegro,"296,452",,"2,845",,"291,794",,"1,813",N/A,"472,095","4,531","2,769,281","4,410,034","627,950"
Algeria,"272,010",,"6,881",,"183,061",,"82,068",,"5,998",152,"230,960","5,093","45,350,148"
Nigeria,"267,188",,"3,155",,"259,953",,"4,080",11,"1,233",15,"5,708,974","26,339","216,746,934"
Zimbabwe,"266,319",,"5,737",,"258,888",,"1,694",12,"17,371",374,"2,525,756","164,744","15,331,428"
Uzbekistan,"253,662",,"1,637",,"241,486",,"10,539",23,"7,378",48,"1,377,915","40,077","34,382,084"
Mozambique,"233,731",,"2,250",,"228,805",,"2,676",11,"7,064",68,"1,371,127","41,437","33,089,461"
Afghanistan,"231,625",,"7,984",,"209,990",,"13,651",,"5,683",196,"1,359,910","33,368","40,754,388"
Martinique,"230,354",,"1,102",,N/A,N/A,N/A,N/A,"615,777","2,946","828,928","2,215,870","374,087"
Laos,"218,934",,758,,N/A,N/A,N/A,,"29,265",101,"1,233,207","164,845","7,481,023"
Iceland,"209,884",,229,,N/A,N/A,N/A,,"607,667",663,"1,996,384","5,780,036","345,393"
Kyrgyzstan,"206,897",,"2,991",,"196,406",,"7,500",131,"30,750",445,"1,907,195","283,460","6,728,271"
Guadeloupe,"203,235",,"1,021",,N/A,N/A,N/A,N/A,"508,349","2,554","938,039","2,346,306","399,794"
El Salvador,"201,855",,"4,230",,"179,410",,"18,215",,"30,816",646,"2,610,114","398,467","6,550,389"
Trinidad and Tobago,"191,496",,"4,390",,"187,078",,28,N/A,"136,143","3,121","913,289","649,295","1,406,585"
Maldives,"186,694",,316,,"163,687",,"22,691",25,"345,100",584,"2,213,831","4,092,223","540,985"
Namibia,"172,280",,"4,103",,"167,099",,"1,078",,"65,409","1,558","1,062,663","403,460","2,633,874"
Uganda,"171,983",,"3,632",,"100,431",,"67,920",,"3,551",75,"3,012,408","62,198","48,432,863"
Ghana,"171,889",,"1,462",,"170,425",,2,,"5,306",45,"2,541,625","78,456","32,395,450"
Jamaica,"156,834",,"3,739",,N/A,N/A,N/A,,"52,539","1,253","1,183,986","396,633","2,985,094"
Cambodia,"139,091",,"3,056",,"136,031",,4,,"8,101",178,"3,091,420","180,062","17,168,639"
Rwanda,"133,518",,"1,468",,"132,039",,11,,"9,817",108,"6,021,981","442,778","13,600,464"
Cameroon,"125,359",,"1,974",,"123,276",,109,N/A,"4,491",71,"1,751,774","62,762","27,911,548"
Malta,"121,392",,882,,"120,096",,414,,"273,385","1,986","2,167,457","4,881,297","444,033"
Barbados,"110,480",,648,,"108,647",,"1,185",,"383,580","2,250","813,173","2,823,292","288,023"
Angola,"107,322",,"1,937",,"103,419",,"1,966",,"3,064",55,"1,499,795","42,818","35,027,343"
Channel Islands,"101,717",,228,,"101,321",,168,,"576,421","1,292","1,252,808","7,099,551","176,463"
DRC,"99,338",,"1,468",,"84,489",,"13,381",,"1,043",15,"846,704","8,890","95,240,792"
French Guiana,"98,041",,420,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169"
Malawi,"89,168",,"2,686",,N/A,N/A,N/A,N/A,"4,418",133,"624,784","30,959","20,180,839"
Senegal,"89,053",,"1,971",,"87,024",,58,,"5,044",112,"1,146,543","64,946","17,653,671"
Ivory Coast,"88,384",,835,,"87,497",,52,,"3,186",30,"1,690,934","60,951","27,742,298"
Suriname,"82,588",,"1,408",,N/A,N/A,N/A,,"138,378","2,359","242,207","405,822","596,831"
New Caledonia,"80,064",,314,,N/A,N/A,N/A,N/A,"275,214","1,079","98,964","340,182","290,915"
French Polynesia,"79,254",,650,,N/A,N/A,N/A,N/A,"278,902","2,287",,,"284,164"
Eswatini,"75,191",,"1,427",,"73,116",,648,,"63,462","1,204","1,048,704","885,119","1,184,817"
Guyana,"74,137",,"1,300",,"72,013",,824,,"93,366","1,637","733,218","923,396","794,045"
Belize,"71,381",,688,,N/A,N/A,N/A,N/A,"173,175","1,669","576,016","1,397,453","412,190"
Fiji,"69,117",,885,,"67,226",,"1,006",,"75,997",973,"672,883","739,866","909,466"
Madagascar,"68,486",,"1,426",,"66,862",,198,,"2,347",49,"531,329","18,210","29,178,077"
Cabo Verde,"64,477",,417,,"63,755",,305,23,"113,580",735,"401,622","707,482","567,678"
Sudan,"63,993",,"5,046",,"58,947",,0,,"1,391",110,"562,941","12,240","45,992,020"
Mauritania,"63,832",,997,,"62,471",,364,,"13,022",203,"1,009,957","206,030","4,901,981"
Bhutan,"62,697",,21,,"61,564",,"1,112",,"79,571",27,"2,303,734","2,923,739","787,941"
Syria,"57,743",,"3,165",,"54,578",,0,,"2,982",163,"146,269","7,553","19,364,809"
Burundi,"54,721",,38,,"53,569",,"1,114",,"4,334",3,"345,742","27,386","12,624,840"
Seychelles,"51,220",,172,,"51,048",,0,,"515,157","1,730",,,"99,426"
Gabon,"49,051",,307,,"48,674",,70,,"21,038",132,"1,621,909","695,641","2,331,533"
Andorra,"48,015",,165,,N/A,N/A,N/A,N/A,"619,844","2,130","249,838","3,225,256","77,463"
Papua New Guinea,"46,864",,670,,"46,168",,26,N/A,"5,043",72,"249,149","26,813","9,292,169"
Curaçao,"45,986",,295,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529"
Aruba,"44,224",,292,,"42,438",,"1,494",2,"410,969","2,714","177,885","1,653,068","107,609"
Tanzania,"43,223",,846,,N/A,N/A,N/A,N/A,683,13,,,"63,298,550"
Mauritius,"43,025",,"1,051",,"41,278",,696,,"33,752",824,"358,675","281,374","1,274,727"
Mayotte,"42,027",,188,,N/A,N/A,N/A,,"146,815",657,"176,919","618,038","286,259"
Togo,"39,557",,290,,"39,265",,2,,"4,557",33,"814,921","93,876","8,680,837"
Guinea,"38,572",,468,,"37,757",,347,N/A,"2,782",34,"660,107","47,607","13,865,691"
Bahamas,"38,084",,844,,"36,366",,874,1,"95,087","2,107","257,839","643,767","400,516"
Isle of Man,"38,008",,116,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732"
Lesotho,"36,138",,723,,"25,980",,"9,435",,"16,610",332,"431,221","198,199","2,175,699"
Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,N/A,"703,959",569,"778,000","15,802,409","49,233"
Haiti,"34,542",,860,,"33,576",,106,,"2,957",74,"132,422","11,337","11,680,283"
Mali,"33,164",,743,,"32,332",,89,,"1,544",35,"804,909","37,483","21,473,764"
Cayman Islands,"31,472",,37,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280","67,277"
Saint Lucia,"30,215",,410,,"29,801",2,4,,"163,225","2,215","210,983","1,139,752","185,113"
Benin,"28,036",,163,,"27,847",,26,,"2,193",13,"604,310","47,268","12,784,726"
Somalia,"27,334",,"1,361",,"13,182",,"12,791",,"1,623",81,"400,466","23,778","16,841,795"
Micronesia,"26,547",,65,,N/A,N/A,N/A,N/A,"225,953",553,"82,430","701,598","117,489"
San Marino,"26,185",,128,,"26,011",,46,N/A,"768,226","3,755","196,855","5,775,414","34,085"
Solomon Islands,"25,954",,199,,N/A,N/A,N/A,N/A,"35,989",276,,,"721,159"
Congo,"25,375",,386,,"24,006",,983,,"4,377",67,"347,815","59,991","5,797,805"
Timor-Leste,"23,460",,138,,"23,102",,220,,"17,131",101,"278,529","203,391","1,369,429"
Macao,"22,706",,123,,"3,487",,"19,096",,"34,017",184,"7,850","11,760","667,490"
Burkina Faso,"22,109",,400,,"21,596",,113,,"1,000",18,"248,995","11,265","22,102,838"
Liechtenstein,"21,572",,94,,N/A,N/A,N/A,N/A,"561,961","2,449","112,457","2,929,559","38,387"
Gibraltar,"20,550",,113,,N/A,N/A,N/A,,"609,720","3,353","534,283","15,852,213","33,704"
Grenada,"19,693",,238,,"19,358",,97,4,"173,545","2,097","182,981","1,612,523","113,475"
Bermuda,"18,860",,165,,"18,685",,10,,"304,493","2,664","1,029,558","16,622,128","61,939"
South Sudan,"18,819",,147,,"18,115",,557,1,"1,620",13,"410,280","35,313","11,618,511"
Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,728",33,,,"6,779,100"
Tajikistan,"17,786",,125,,"17,264",,397,,"1,786",13,,,"9,957,464"
Equatorial Guinea,"17,229",,183,,"16,907",,139,5,"11,512",122,"365,697","244,342","1,496,662"
Monaco,"17,181",,67,,N/A,N/A,N/A,N/A,"431,868","1,684","78,646","1,976,875","39,783"
Samoa,"17,006",,31,,"1,605",,"15,370",,"84,089",153,"187,397","926,612","202,239"
Tonga,"16,950",,13,,"15,638",,"1,299",,"157,310",121,"535,009","4,965,327","107,749"
Marshall Islands,"16,138",,17,,"16,121",,0,,"268,711",283,,,"60,057"
Dominica,"16,038",,74,,"15,964",,0,,"221,691","1,023","229,344","3,170,187","72,344"
Djibouti,"15,690",,189,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097"
CAR,"15,440",,113,,"15,200",,127,2,"3,078",23,"81,294","16,205","5,016,678"
Gambia,"12,626",,372,,"12,189",,65,,"4,935",145,"155,686","60,851","2,558,482"
Saint Martin,"12,324",,63,,N/A,N/A,N/A,N/A,"310,194","1,586","112,382","2,828,643","39,730"
Vanuatu,"12,019",,14,,"11,976",,29,,"37,346",44,"24,976","77,606","321,832"
Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810","56,973"
Yemen,"11,945",,"2,159",,"9,124",,662,N/A,383,69,"329,592","10,579","31,154,867"
Caribbean Netherlands,"11,682",,38,,"10,476",,"1,168",,"438,398","1,426","30,126","1,130,559","26,647"
Sint Maarten,"11,051",,92,,"10,905",,54,N/A,"251,353","2,093","62,056","1,411,454","43,966"
Eritrea,"10,189",,103,,"10,086",,0,,"2,782",28,"23,693","6,470","3,662,244"
Niger,"9,931",,312,,"8,890",,729,1,381,12,"254,538","9,759","26,083,660"
St. Vincent Grenadines,"9,674",,124,,"9,493",,57,,"86,723","1,112","114,197","1,023,720","111,551"
Guinea-Bissau,"9,614",,177,,"8,929",,508,6,"4,659",86,"145,231","70,385","2,063,367"
Comoros,"9,109",,161,,"8,939",,9,,"10,038",177,,,"907,419"
Antigua and Barbuda,"9,106",,146,,"8,954",,6,N/A,"91,509","1,467","18,901","189,943","99,509"
Liberia,"8,090",,295,,"7,783",,12,2,"1,525",56,"139,824","26,356","5,305,117"
Sierra Leone,"7,779",,126,,N/A,N/A,N/A,,937,15,"259,958","31,296","8,306,436"
Chad,"7,701",,194,,"4,874",,"2,633",,442,11,"191,341","10,988","17,413,580"
British Virgin Islands,"7,392",,64,,N/A,N/A,N/A,,"241,600","2,092","107,339","3,508,269","30,596"
Cook Islands,"7,203",,2,,"7,150",,51,,"409,937",114,"19,690","1,120,596","17,571"
Sao Tome and Principe,"6,751",,80,,"6,671",,0,,"29,651",351,"29,600","130,008","227,679"
Turks and Caicos,"6,749",,40,,"6,683",,26,4,"169,825","1,007","616,670","15,517,224","39,741"
Saint Kitts and Nevis,"6,607",,48,,"6,559",,0,,"122,645",891,"126,958","2,356,704","53,871"
Palau,"6,279",,10,,"6,268",,1,,"344,376",548,"71,280","3,909,395","18,233"
St. Barth,"5,507",,6,,N/A,N/A,N/A,,"553,746",603,"78,646","7,908,095","9,945"
Nauru,"5,393",,1,,"5,347",,45,,"494,635",92,"20,509","1,881,042","10,903"
Kiribati,"5,085",,24,,"2,703",,"2,358",3,"41,201",194,,,"123,419"
Anguilla,"3,904",,12,,N/A,N/A,N/A,N/A,"256,336",788,"51,382","3,373,736","15,230"
Wallis and Futuna,"3,550",,8,,438,,"3,104",,"323,256",728,"20,508","1,867,419","10,982"
Saint Pierre Miquelon,"3,452",,2,,"2,449",,"1,001",,"599,410",347,"25,400","4,410,488","5,759"
Tuvalu,"2,943",,1,,N/A,N/A,N/A,N/A,"243,909",83,,,"12,066"
Saint Helena,"2,166",,,,2,,"2,164",,"354,211",,,,"6,115"
Falkland Islands,"1,930",,,,"1,930",,0,,"545,352",,"8,632","2,439,107","3,539"
Montserrat,"1,403",,8,,"1,376",,19,,"282,578","1,611","17,762","3,577,442","4,965"
Niue,"1,055",,,,"1,053",,2,,"650,432",,,,"1,622"
Diamond Princess,712,,13,,699,,0,,,,,,
Tokelau,80,,,,,,80,,"58,055",,,,"1,378"
Vatican City,29,,,,29,,0,,"36,295",,,,799
Western Sahara,10,,1,,9,,0,,16,2,,,"626,161"
MS Zaandam,9,,2,,7,,0,,,,,,
China,"503,302",,"5,272",,"379,053",,"118,977",N/A,347,4,"160,000,000","110,461","1,448,471,400"
Total:,"131,413,625",,"1,674,775",,"126,866,566",,"2,872,284","6,926",,,,,
Total:,"221,452,228",161,"1,553,005",2,"205,616,782",583,"14,282,441","14,733",,,,,
Total:,"253,186,231",940,"2,100,109",35,"248,509,042","2,477","2,577,080","4,521",,,,,
Total:,"69,791,773",,"1,365,551",,"66,648,277",,"1,777,945","8,953",,,,,
Total:,"14,826,780","1,345","32,665",,"14,572,565",,"221,550",33,,,,,
Total:,"12,859,770",,"258,884",,"12,089,899",,"510,987",529,,,,,
Total:,721,,15,,706,,0,0,,,,,
Total:,"703,531,128","2,446","6,985,004",37,"674,303,837","5,178","22,242,287","35,695","90,256.50",896.1,,,
